brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,vehicle_age,vehicle_age_for_calculation,annual_mileage,group_count,mileage_median,mileage_q1,mileage_q3,mileage_iqr,mileage_lower_bound,mileage_upper_bound,eligible_for_mileage_detection,mileage_anomaly,mileage_deviation_percentage,mileage_anomaly_reason,annual_mileage_anomaly,annual_mileage_reason,price_signal,mileage_signal,age_mileage_signal,signal_count,review_priority,review_priority_reason,listing_id,price_group_count,price_median,price_q1,price_q3,price_iqr,expected_price_low,expected_price_high,price_deviation_percentage,price_deviation_abs,price_anomaly_direction,price_alert_reason,price_reference_quality,duplicate_record_count,duplicate_record_flag
AUDI,A3,2018,1000.0,AUTOMATIC,PETROL,77000.0,ANURADAPURA,2025-01-23,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,139.0,7,7,11000.0,4,77000.0,77000.0,77000.0,0.0,77000.0,77000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00011,4,139.0,139.0,139.0,0.0,139.0,139.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,4,True
AUDI,A3,2018,1000.0,AUTOMATIC,PETROL,77000.0,KANDY,2025-01-20,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,139.0,7,7,11000.0,4,77000.0,77000.0,77000.0,0.0,77000.0,77000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00012,4,139.0,139.0,139.0,0.0,139.0,139.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,4,True
AUDI,A3 S LINE,2018,1000.0,AUTOMATIC,PETROL,77000.0,COLOMBO,2025-01-19,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,178.0,7,7,11000.0,2,77000.0,77000.0,77000.0,0.0,77000.0,77000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00013,2,178.0,178.0,178.0,0.0,178.0,178.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,2,True
AUDI,A3 S LINE,2018,1000.0,AUTOMATIC,PETROL,77000.0,COLOMBO,2024-12-13,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,178.0,7,7,11000.0,2,77000.0,77000.0,77000.0,0.0,77000.0,77000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00014,2,178.0,178.0,178.0,0.0,178.0,178.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,2,True
AUDI,A3 S-LINE,2018,999.0,AUTOMATIC,PETROL,77000.0,AMBALANGODA,2024-12-24,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,145.0,7,7,11000.0,1,77000.0,77000.0,77000.0,0.0,77000.0,77000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00015,1,145.0,145.0,145.0,0.0,145.0,145.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,1,False
AUDI,A3 SPORTBACK,2017,1000.0,AUTOMATIC,PETROL,88000.0,BATTARAMULLA,2025-02-01,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,125.0,8,8,11000.0,3,88000.0,88000.0,88000.0,0.0,88000.0,88000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00016,3,142.5,133.75,153.75,20.0,133.75,153.75,-12.280701754385964,12.280701754385964,below_expected_range,below_expected_range; deviation_from_group_median=-12.3%,low,1,False
AUDI,A3 SPORTBACK,2017,1000.0,AUTOMATIC,PETROL,88000.0,COLOMBO,2025-01-31,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,142.5,8,8,11000.0,3,88000.0,88000.0,88000.0,0.0,88000.0,88000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00017,3,142.5,133.75,153.75,20.0,133.75,153.75,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,1,False
AUDI,A3 SPORTBACK,2017,1000.0,AUTOMATIC,PETROL,88000.0,BATTARAMULLA,2025-01-03,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,165.0,8,8,11000.0,3,88000.0,88000.0,88000.0,0.0,88000.0,88000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00018,3,142.5,133.75,153.75,20.0,133.75,153.75,15.789473684210526,15.789473684210526,above_expected_range,above_expected_range; deviation_from_group_median=15.8%,low,1,False
AUDI,A3 TFSI,2018,1000.0,AUTOMATIC,PETROL,77000.0,COLOMBO,2025-01-16,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,149.5,7,7,11000.0,1,77000.0,77000.0,77000.0,0.0,77000.0,77000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00019,1,149.5,149.5,149.5,0.0,149.5,149.5,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,1,False
AUDI,A3 TFSI,2015,1899.0,AUTOMATIC,PETROL,110000.0,NITTAMBUWA,2024-12-10,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,159.0,10,10,11000.0,2,110000.0,110000.0,110000.0,0.0,110000.0,110000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00020,2,159.0,159.0,159.0,0.0,159.0,159.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,2,True
AUDI,A3 TFSI,2015,1500.0,AUTOMATIC,PETROL,110000.0,NITTAMBUWA,2024-12-09,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,159.0,10,10,11000.0,2,110000.0,110000.0,110000.0,0.0,110000.0,110000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00021,2,159.0,159.0,159.0,0.0,159.0,159.0,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,2,True
AUDI,A4,2001,1900.0,MANUAL,DIESEL,264000.0,PILIYANDALA,2025-02-04,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,38.8,24,24,11000.0,1,264000.0,264000.0,264000.0,0.0,264000.0,264000.0,False,False,0.0,within_comparable_range,False,within_age_based_range,False,False,False,0,low,no anomaly signals,listing_00022,1,38.8,38.8,38.8,0.0,38.8,38.8,0.0,0.0,within_expected_range,within_expected_range; deviation_from_group_median=0.0%,low,1,False
