brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,group_count,group_median,group_q1,group_q3,group_iqr,lower_bound,upper_bound,eligible_for_detection,price_anomaly,anomaly_reason,price_deviation_percentage,flag_baseline,absolute_deviation,flag_iqr_and_15pct,flag_iqr_and_20pct,flag_iqr_and_30pct,review_label,review_reason,review_confidence,review_notes
MICRO,PANDA,2015,1000.0,MANUAL,PETROL,110000.0,KURUNEGALA,2024-12-05,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,26.5,33,26.056,25.9,26.65,0.75,24.775,27.775,True,False,within_comparable_range,1.704022106232726,False,1.704022106232726,False,False,False,,,,
NISSAN,TRAD SUNNY,1988,1270.0,MANUAL,PETROL,407000.0,COLOMBO,2025-01-27,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,14.25,10,14.25,11.353125000000004,14.6625,3.3093749999999957,6.38906250000001,19.62656249999999,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
SUZUKI,WAGON R,2016,660.0,AUTOMATIC,HYBRID,99000.0,GALLE,2024-12-30,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,54.0,26,56.79444444444444,54.7875,58.3125,3.5249999999999986,49.5,63.599999999999994,True,False,within_comparable_range,-4.920277804949611,False,4.920277804949611,False,False,False,,,,
SUZUKI,ALTO,2015,800.0,MANUAL,PETROL,110000.0,KIRIBATHGODA,2025-02-04,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,33.5,161,33.02984496124031,32.5,33.5,1.0,31.0,35.0,True,False,within_comparable_range,1.4234249034817077,False,1.4234249034817077,False,False,False,,,,
SUZUKI,ALTO,2015,800.0,MANUAL,PETROL,110000.0,POLONNARUWA,2025-01-31,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,32.85,161,33.02984496124031,32.5,33.5,1.0,31.0,35.0,True,False,within_comparable_range,-0.5444922961380826,False,0.5444922961380826,False,False,False,,,,
HYUNDAI,ELANTRA,2000,1600.0,AUTOMATIC,PETROL,275000.0,PADUKKA,2025-02-03,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,23.25,8,22.875,22.375,23.5,1.125,20.6875,25.1875,True,False,within_comparable_range,1.639344262295082,False,1.639344262295082,False,False,False,,,,
MICRO,TREND,2012,1075.0,MANUAL,PETROL,143000.0,GALLE,2024-12-11,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,17.5,5,17.5,16.95,20.0,3.0500000000000007,12.374999999999998,24.575000000000003,True,False,within_comparable_range,0.0,False,0.0,False,False,False,,,,
TOYOTA,AQUA X URBAN,2015,1500.0,AUTOMATIC,HYBRID,110000.0,NUGEGODA,2025-01-30,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,89.9,16,89.27272727272727,88.17500000000001,90.425,2.25,84.80000000000001,93.8,True,False,within_comparable_range,0.7026476578411542,False,0.7026476578411542,False,False,False,,,,
TOYOTA,VITZ EDITION 3,2019,1000.0,AUTOMATIC,PETROL,66000.0,COLOMBO,2025-01-25,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,89.75,5,98.9,91.0,99.0,8.0,79.0,111.0,True,False,within_comparable_range,-9.251769464105164,False,9.251769464105164,False,False,False,,,,
SUZUKI,ALTO JAPAN,2003,650.0,AUTOMATIC,PETROL,242000.0,KADUWELA,2025-02-03,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,32.9,22,32.2,31.9625,32.25,0.2875000000000014,31.531249999999996,32.681250000000006,True,True,price_above_comparable_range,2.173913043478247,True,2.173913043478247,False,False,False,,,,
