brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,group_count,group_median,group_q1,group_q3,group_iqr,lower_bound,upper_bound,eligible_for_detection,price_anomaly,anomaly_reason,price_deviation_percentage
AUDI,A1,2016,990.0,AUTOMATIC,PETROL,99000.0,GAMPAHA,2025-02-05,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,100.0,1,100.0,100.0,100.0,0.0,100.0,100.0,False,False,within_comparable_range,0.0
AUDI,A1,2017,1000.0,AUTOMATIC,PETROL,88000.0,COLOMBO,2025-01-14,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,97.0,4,101.75,98.875,104.75,5.875,90.0625,113.5625,False,False,within_comparable_range,-4.668304668304668
AUDI,A1,2018,1000.0,AUTOMATIC,PETROL,77000.0,DEHIWALA-MOUNT-LAVINIA,2025-01-23,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,98.5,2,94.9375,93.15625,96.71875,3.5625,87.8125,102.0625,False,False,within_comparable_range,3.7524687294272545
AUDI,A1,2017,1000.0,AUTOMATIC,PETROL,88000.0,NEGOMBO,2024-12-21,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,107.0,4,101.75,98.875,104.75,5.875,90.0625,113.5625,False,False,within_comparable_range,5.159705159705159
AUDI,A1,2017,1000.0,AUTOMATIC,PETROL,88000.0,COLOMBO,2024-12-21,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,99.5,4,101.75,98.875,104.75,5.875,90.0625,113.5625,False,False,within_comparable_range,-2.211302211302211
AUDI,A1,2018,1500.0,AUTOMATIC,PETROL,77000.0,COLOMBO,2024-12-16,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,91.375,2,94.9375,93.15625,96.71875,3.5625,87.8125,102.0625,False,False,within_comparable_range,-3.7524687294272545
AUDI,A1,2017,1000.0,AUTOMATIC,PETROL,88000.0,MATARA,2024-12-11,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,104.0,4,101.75,98.875,104.75,5.875,90.0625,113.5625,False,False,within_comparable_range,2.211302211302211
AUDI,A1 RS,2016,1000.0,AUTOMATIC,PETROL,99000.0,COLOMBO,2025-01-19,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,105.0,1,105.0,105.0,105.0,0.0,105.0,105.0,False,False,within_comparable_range,0.0
AUDI,A3,2018,1000.0,AUTOMATIC,PETROL,77000.0,NUGEGODA,2025-02-05,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,139.0,4,139.0,139.0,139.0,0.0,139.0,139.0,False,False,within_comparable_range,0.0
AUDI,A3,2018,1750.0,AUTOMATIC,PETROL,77000.0,GAMPAHA,2025-01-31,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,139.0,4,139.0,139.0,139.0,0.0,139.0,139.0,False,False,within_comparable_range,0.0
AUDI,A3,2018,1000.0,AUTOMATIC,PETROL,77000.0,ANURADAPURA,2025-01-23,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,139.0,4,139.0,139.0,139.0,0.0,139.0,139.0,False,False,within_comparable_range,0.0
AUDI,A3,2018,1000.0,AUTOMATIC,PETROL,77000.0,KANDY,2025-01-20,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,139.0,4,139.0,139.0,139.0,0.0,139.0,139.0,False,False,within_comparable_range,0.0
AUDI,A3 S LINE,2018,1000.0,AUTOMATIC,PETROL,77000.0,COLOMBO,2025-01-19,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,178.0,2,178.0,178.0,178.0,0.0,178.0,178.0,False,False,within_comparable_range,0.0
AUDI,A3 S LINE,2018,1000.0,AUTOMATIC,PETROL,77000.0,COLOMBO,2024-12-13,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,178.0,2,178.0,178.0,178.0,0.0,178.0,178.0,False,False,within_comparable_range,0.0
AUDI,A3 S-LINE,2018,999.0,AUTOMATIC,PETROL,77000.0,AMBALANGODA,2024-12-24,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,145.0,1,145.0,145.0,145.0,0.0,145.0,145.0,False,False,within_comparable_range,0.0
AUDI,A3 SPORTBACK,2017,1000.0,AUTOMATIC,PETROL,88000.0,BATTARAMULLA,2025-02-01,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,125.0,3,142.5,133.75,153.75,20.0,103.75,183.75,False,False,within_comparable_range,-12.280701754385964
AUDI,A3 SPORTBACK,2017,1000.0,AUTOMATIC,PETROL,88000.0,COLOMBO,2025-01-31,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,142.5,3,142.5,133.75,153.75,20.0,103.75,183.75,False,False,within_comparable_range,0.0
AUDI,A3 SPORTBACK,2017,1000.0,AUTOMATIC,PETROL,88000.0,BATTARAMULLA,2025-01-03,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,165.0,3,142.5,133.75,153.75,20.0,103.75,183.75,False,False,within_comparable_range,15.789473684210526
