brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,group_count,group_median,group_q1,group_q3,group_iqr,lower_bound,upper_bound,eligible_for_detection,price_anomaly,anomaly_reason,price_deviation_percentage,original_row_index,absolute_deviation,flag_baseline,flag_iqr_and_15pct,flag_iqr_and_20pct,flag_iqr_and_30pct,review_label,review_reason,review_confidence,review_notes
NISSAN,HB11,1984,1500.0,MANUAL,PETROL,451000.0,KURUNEGALA,2025-01-03,NO LEASING,USED,NOT_AVAILABLE,NOT_AVAILABLE,AVAILABLE,NOT_AVAILABLE,6.1,6,7.77,7.51,8.15,0.6400000000000006,6.549999999999999,9.110000000000001,True,True,price_below_comparable_range,-21.492921492921493,2977,21.492921492921493,True,True,True,False,,,,
HYUNDAI,ACCENT,2000,1490.0,MANUAL,PETROL,275000.0,PADUKKA,2025-01-18,ONGOING LEASE,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,17.549999999999997,13,23.0,21.9,23.95,2.0500000000000007,18.824999999999996,27.025,True,True,price_below_comparable_range,-23.695652173913057,1137,23.695652173913057,True,True,True,False,,,,
MITSUBISHI,LANCER BOX,1982,1410.0,MANUAL,PETROL,473000.0,DANKOTUWA,2025-01-17,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,NOT_AVAILABLE,7.5,8,9.925,9.4125,10.610714285714288,1.198214285714288,7.615178571428568,12.40803571428572,True,True,price_below_comparable_range,-24.433249370277082,2192,24.433249370277082,True,True,True,False,,,,
TATA,INDIGO,2006,1405.0,MANUAL,PETROL,209000.0,ANURADAPURA,2024-12-25,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,22.0,5,18.5,17.25,18.5625,1.3125,15.28125,20.53125,True,True,price_above_comparable_range,18.91891891891892,6553,18.91891891891892,True,True,False,False,,,,
NISSAN,HB12,1989,1500.0,MANUAL,PETROL,396000.0,MATALE,2024-12-08,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,13.45,5,11.0,10.85,11.5375,0.6875,9.81875,12.56875,True,True,price_above_comparable_range,22.272727272727266,2998,22.272727272727266,True,True,True,False,,,,
TOYOTA,KE72,1984,1300.0,MANUAL,PETROL,451000.0,GAMPAHA,2025-02-03,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,11.5,5,9.7,9.7,9.7,0.0,9.7,9.7,True,True,price_above_comparable_range,18.556701030927844,8389,18.556701030927844,True,True,False,False,,,,
MITSUBISHI,LANCER BOX,1983,1400.0,MANUAL,PETROL,462000.0,MINUWANGODA,2025-01-15,NO LEASING,USED,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,17.14910714285714,12,8.625,7.0625,10.5625,3.5,1.8125,15.8125,True,True,price_above_comparable_range,98.8302277432712,2193,98.8302277432712,True,True,True,True,,,,
TOYOTA,COROLLA 121,2005,1500.0,AUTOMATIC,PETROL,220000.0,ANURADAPURA,2024-12-09,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,71.63392857142856,8,58.625,56.5,61.105357142857144,4.6053571428571445,49.59196428571428,68.01339285714286,True,True,price_above_comparable_range,22.190070057873868,7906,22.190070057873868,True,True,True,False,,,,
SUZUKI,SWIFT,2010,1300.0,MANUAL,PETROL,165000.0,KURUNEGALA,2024-12-12,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,23.0,7,58.75,48.0,61.875,13.875,27.1875,82.6875,True,True,price_below_comparable_range,-60.851063829787236,5596,60.851063829787236,True,True,True,True,,,,
TOYOTA,CE110,1997,1234.0,AUTOMATIC,DIESEL,308000.0,BERUWALA,2024-12-10,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,23.25,8,28.625,27.698214285714286,30.2625,2.564285714285713,23.851785714285718,34.10892857142857,True,True,price_below_comparable_range,-18.777292576419214,7751,18.777292576419214,True,True,False,False,,,,
