listing_id,alert_rank,brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,condition,price,price_median,expected_price_low,expected_price_high,price_deviation_percentage,price_anomaly_direction,price_alert_reason,price_group_count,price_reference_quality,duplicate_record_count,duplicate_record_flag,review_priority
listing_06103,575,SUZUKI,WAGON R FZ SAFETY,2018,660.0,AUTOMATIC,PETROL,77000.0,MONERAGALA,2025-02-01,USED,68.0,66.38,66.285,66.5,2.4404941247363734,above_expected_range,above_expected_range; deviation_from_group_median=2.4%,8,medium,1,False,medium
listing_04361,576,SUZUKI,ALTO,2016,800.0,MANUAL,PETROL,99000.0,KATUNAYAKE,2024-12-27,USED,35.25,34.41428571428572,34.41428571428572,34.575,2.4283935242839236,above_expected_range,above_expected_range; deviation_from_group_median=2.4%,26,high,1,False,medium
listing_04188,577,SUZUKI,ALTO,2007,800.0,MANUAL,PETROL,198000.0,RATNAPURA,2025-01-29,USED,24.6,24.0195,23.9,24.0195,2.416786361081624,above_expected_range,above_expected_range; deviation_from_group_median=2.4%,19,high,1,False,medium
listing_07488,578,TOYOTA,AXIO WXB,2017,1500.0,AUTOMATIC,PETROL,88000.0,VAVUNIYA,2025-01-03,USED,142.0,138.66333333333333,138.0,139.0,2.406307843938561,above_expected_range,above_expected_range; deviation_from_group_median=2.4%,21,high,1,False,medium
listing_05300,579,SUZUKI,MARUTI 800,2011,800.0,MANUAL,PETROL,154000.0,KANDY,2024-12-21,USED,19.5,19.975,19.975,19.975,-2.3779724655819843,below_expected_range,below_expected_range; deviation_from_group_median=-2.4%,5,medium,1,False,medium
listing_05278,580,SUZUKI,MARUTI 800,2011,800.0,MANUAL,PETROL,154000.0,BANDARAWELA,2025-01-06,USED,20.45,19.975,19.975,19.975,2.377972465581967,above_expected_range,above_expected_range; deviation_from_group_median=2.4%,5,medium,1,False,medium
listing_06448,581,SUZUKI,WAGON R STINGRAY J STYLE,2015,660.0,AUTOMATIC,HYBRID,110000.0,KULIYAPITIYA,2025-01-06,USED,55.9,57.24545454545454,57.122727272727275,57.375,-2.3503255518500845,below_expected_range,below_expected_range; deviation_from_group_median=-2.4%,19,high,1,False,medium
listing_07247,582,TOYOTA,AXIO,2015,1500.0,AUTOMATIC,PETROL,110000.0,KANDY,2025-02-04,USED,110.0,112.63636363636364,112.63636363636364,112.63636363636364,-2.3405972558514963,below_expected_range,below_expected_range; deviation_from_group_median=-2.3%,35,high,3,True,medium
listing_07249,583,TOYOTA,AXIO,2015,1500.0,AUTOMATIC,PETROL,110000.0,GAMPAHA,2025-02-04,USED,110.0,112.63636363636364,112.63636363636364,112.63636363636364,-2.3405972558514963,below_expected_range,below_expected_range; deviation_from_group_median=-2.3%,35,high,3,True,medium
listing_07377,584,TOYOTA,AXIO,2015,1500.0,AUTOMATIC,HYBRID,110000.0,KANDY,2024-12-08,USED,110.0,112.63636363636364,112.63636363636364,112.63636363636364,-2.3405972558514963,below_expected_range,below_expected_range; deviation_from_group_median=-2.3%,35,high,3,True,medium
listing_07472,585,TOYOTA,AXIO WXB,2017,1500.0,AUTOMATIC,HYBRID,88000.0,MATARA,2025-01-30,USED,135.5,138.66333333333333,138.0,139.0,-2.2813048390586266,below_expected_range,below_expected_range; deviation_from_group_median=-2.3%,21,high,1,False,medium
listing_08704,586,TOYOTA,PREMIO G SUPERIOR,2007,1514.0,AUTOMATIC,PETROL,198000.0,KILINOCHCHI,2025-01-23,USED,97.5,95.33125,95.0,95.9,2.2749623024978725,above_expected_range,above_expected_range; deviation_from_group_median=2.3%,9,medium,2,True,medium
listing_08725,587,TOYOTA,PREMIO G SUPERIOR,2007,1790.0,AUTOMATIC,PETROL,198000.0,KANDY,2024-12-23,USED,97.5,95.33125,95.0,95.9,2.2749623024978725,above_expected_range,above_expected_range; deviation_from_group_median=2.3%,9,medium,2,True,medium
listing_05144,588,SUZUKI,MARUTI,2006,800.0,MANUAL,PETROL,209000.0,EMBILIPITIYA,2025-01-28,USED,17.25,16.87,16.75,16.87,2.252519264967392,above_expected_range,above_expected_range; deviation_from_group_median=2.3%,47,high,3,True,medium
listing_05197,589,SUZUKI,MARUTI,2006,800.0,MANUAL,PETROL,209000.0,KULIYAPITIYA,2024-12-27,USED,17.25,16.87,16.75,16.87,2.252519264967392,above_expected_range,above_expected_range; deviation_from_group_median=2.3%,47,high,3,True,medium
listing_05193,590,SUZUKI,MARUTI,2006,800.0,MANUAL,PETROL,209000.0,KULIYAPITIYA,2024-12-29,USED,17.25,16.87,16.75,16.87,2.252519264967392,above_expected_range,above_expected_range; deviation_from_group_median=2.3%,47,high,3,True,medium
listing_06094,591,SUZUKI,WAGON R FZ SAFETY,2018,660.0,AUTOMATIC,HYBRID,77000.0,KELANIYA,2025-02-04,USED,64.9,66.38,66.285,66.5,-2.229587225067776,below_expected_range,below_expected_range; deviation_from_group_median=-2.2%,8,medium,1,False,medium
listing_05248,592,SUZUKI,MARUTI,2006,800.0,MANUAL,PETROL,209000.0,GALLE,2024-12-05,USED,16.5,16.87,16.75,16.87,-2.1932424422051033,below_expected_range,below_expected_range; deviation_from_group_median=-2.2%,47,high,4,True,medium
listing_05113,593,SUZUKI,MARUTI,2006,800.0,MANUAL,PETROL,209000.0,ANURADAPURA,2025-01-13,USED,16.5,16.87,16.75,16.87,-2.1932424422051033,below_expected_range,below_expected_range; deviation_from_group_median=-2.2%,47,high,4,True,medium
