brand,model,year_of_manufacture,engine_cc,transmission,fuel_type,mileage_km,town,listing_date,leasing,condition,air_conditioning,power_steering,power_mirror,power_window,price,vehicle_age,vehicle_age_for_calculation,annual_mileage,group_count,mileage_median,mileage_q1,mileage_q3,mileage_iqr,mileage_lower_bound,mileage_upper_bound,eligible_for_mileage_detection,mileage_anomaly,mileage_deviation_percentage,mileage_anomaly_reason
AUDI,A3 TFSI,2015,1899.0,AUTOMATIC,PETROL,110000.0,NITTAMBUWA,2024-12-10,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,159.0,10,10,11000.0,2,110000.0,110000.0,110000.0,0.0,110000.0,110000.0,False,False,0.0,within_comparable_range
AUDI,A3 TFSI,2015,1500.0,AUTOMATIC,PETROL,110000.0,NITTAMBUWA,2024-12-09,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,159.0,10,10,11000.0,2,110000.0,110000.0,110000.0,0.0,110000.0,110000.0,False,False,0.0,within_comparable_range
AUDI,A4,2001,1900.0,MANUAL,DIESEL,264000.0,PILIYANDALA,2025-02-04,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,38.8,24,24,11000.0,1,264000.0,264000.0,264000.0,0.0,264000.0,264000.0,False,False,0.0,within_comparable_range
AUDI,A4,2010,1800.0,AUTOMATIC,PETROL,165000.0,KOTTE,2025-02-03,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,118.0,15,15,11000.0,2,165000.0,165000.0,165000.0,0.0,165000.0,165000.0,False,False,0.0,within_comparable_range
AUDI,A4,2019,1400.0,AUTOMATIC,PETROL,66000.0,BATTARAMULLA,2025-01-29,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,225.0,6,6,11000.0,1,66000.0,66000.0,66000.0,0.0,66000.0,66000.0,False,False,0.0,within_comparable_range
AUDI,A4,2011,2000.0,AUTOMATIC,PETROL,154000.0,COLOMBO,2025-01-18,ONGOING LEASE,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,125.0,14,14,11000.0,3,154000.0,154000.0,154000.0,0.0,154000.0,154000.0,False,False,0.0,within_comparable_range
AUDI,A4,2012,2000.0,AUTOMATIC,DIESEL,143000.0,KANDANA,2025-01-15,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,169.0,13,13,11000.0,4,143000.0,143000.0,143000.0,0.0,143000.0,143000.0,False,False,0.0,within_comparable_range
AUDI,A4,1999,1900.0,MANUAL,DIESEL,286000.0,ANURADAPURA,2025-01-09,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,31.5,26,26,11000.0,1,286000.0,286000.0,286000.0,0.0,286000.0,286000.0,False,False,0.0,within_comparable_range
AUDI,A4,2003,1800.0,AUTOMATIC,PETROL,242000.0,MORATUWA,2025-01-06,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,53.6,22,22,11000.0,1,242000.0,242000.0,242000.0,0.0,242000.0,242000.0,False,False,0.0,within_comparable_range
AUDI,A4,2011,2000.0,AUTOMATIC,DIESEL,154000.0,COLOMBO,2025-01-27,NO LEASING,USED,AVAILABLE,AVAILABLE,NOT_AVAILABLE,AVAILABLE,108.0,14,14,11000.0,3,154000.0,154000.0,154000.0,0.0,154000.0,154000.0,False,False,0.0,within_comparable_range
AUDI,A4,2012,1800.0,AUTOMATIC,PETROL,143000.0,WATTALA,2025-01-21,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,139.0,13,13,11000.0,4,143000.0,143000.0,143000.0,0.0,143000.0,143000.0,False,False,0.0,within_comparable_range
AUDI,A4,2016,2000.0,AUTOMATIC,PETROL,99000.0,KIRIBATHGODA,2025-01-21,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,210.0,9,9,11000.0,1,99000.0,99000.0,99000.0,0.0,99000.0,99000.0,False,False,0.0,within_comparable_range
AUDI,A4,2011,2000.0,AUTOMATIC,DIESEL,154000.0,KEGALLE,2024-12-28,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,116.5,14,14,11000.0,3,154000.0,154000.0,154000.0,0.0,154000.0,154000.0,False,False,0.0,within_comparable_range
AUDI,A4,2010,1800.0,AUTOMATIC,PETROL,165000.0,GAMPAHA,2024-12-26,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,100.0,15,15,11000.0,2,165000.0,165000.0,165000.0,0.0,165000.0,165000.0,False,False,0.0,within_comparable_range
AUDI,A4,2012,1800.0,AUTOMATIC,PETROL,143000.0,COLOMBO,2024-12-22,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,NOT_AVAILABLE,145.0,13,13,11000.0,4,143000.0,143000.0,143000.0,0.0,143000.0,143000.0,False,False,0.0,within_comparable_range
AUDI,A4,2012,1800.0,AUTOMATIC,PETROL,143000.0,HOMAGAMA,2024-12-15,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,155.0,13,13,11000.0,4,143000.0,143000.0,143000.0,0.0,143000.0,143000.0,False,False,0.0,within_comparable_range
AUDI,A4 1.9 TDI,2001,1900.0,MANUAL,DIESEL,264000.0,KOTTE,2025-01-16,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,5.0,24,24,11000.0,1,264000.0,264000.0,264000.0,0.0,264000.0,264000.0,False,False,0.0,within_comparable_range
AUDI,A4 B8,2011,1800.0,AUTOMATIC,PETROL,154000.0,WELIGAMA,2025-01-25,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,112.0,14,14,11000.0,1,154000.0,154000.0,154000.0,0.0,154000.0,154000.0,False,False,0.0,within_comparable_range
AUDI,A4 RS4 CONVERSION,2012,1800.0,AUTOMATIC,PETROL,143000.0,KEGALLE,2024-12-10,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,140.0,13,13,11000.0,1,143000.0,143000.0,143000.0,0.0,143000.0,143000.0,False,False,0.0,within_comparable_range
AUDI,A4 S LINE,2016,1600.0,AUTOMATIC,PETROL,99000.0,COLOMBO,2025-01-30,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,215.0,9,9,11000.0,1,99000.0,99000.0,99000.0,0.0,99000.0,99000.0,False,False,0.0,within_comparable_range
AUDI,A4 S LINE,2010,1800.0,AUTOMATIC,PETROL,165000.0,GALLE,2025-01-10,NO LEASING,USED,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,102.0,15,15,11000.0,1,165000.0,165000.0,165000.0,0.0,165000.0,165000.0,False,False,0.0,within_comparable_range
