brand,model,year_of_manufacture,listing_count
SUZUKI,MARUTI 800,2011,5
TOYOTA,COROLLA,1997,5
SUZUKI,HUSTLER,2017,5
MITSUBISHI,LANCER CS1,2008,5
TOYOTA,COROLLA,1996,5
TOYOTA,COROLLA,1988,5
TOYOTA,CE90,1991,5
TOYOTA,YARIS,2011,5
SUZUKI,CELERIO VXI,2014,5
TOYOTA,COROLLA AE100,1991,5
SUZUKI,CELERIO,2017,5
TOYOTA,WIGO,2017,5
TOYOTA,COROLLA AE110,1997,5
NISSAN,FB15 EX SALOON,1999,5
SUZUKI,ALTO,2009,5
HYUNDAI,EON,2015,5
PERODUA,VIVA ELITE,2009,5
SUZUKI,WAGON R FX,2016,5
TOYOTA,AQUA G LIMITED,2012,5
SUZUKI,WAGON R,2010,5
NISSAN,HB12,1989,5
TOYOTA,SOLUNA,2000,5
SUZUKI,WAGON R FZ,2015,5
HONDA,CIVIC FD3,2007,5
HONDA,CIVIC EK3,1998,5
MAZDA,FAMILIA,2000,5
MAZDA,FAMILIA,1989,5
HONDA,CIVIC,2017,5
HONDA,CIVIC,1985,5
MAZDA,DEMIO,2009,5
TOYOTA,AQUA S LIMITED,2013,5
HONDA,FIT ARIA,2007,5
TOYOTA,AQUA URBAN,2015,5
MITSUBISHI,GALANT,1985,4
MAZDA,DEMIO,2000,4
MAZDA,AXELA,2007,4
MITSUBISHI,LANCER C12,1985,4
HYUNDAI,SONATA,2004,4
NISSAN,MARCH AK12,2007,4
MINI,COOPER,1960,4
MITSUBISHI,LANCER,1992,4
TOYOTA,ALLION 260,2011,4
TOYOTA,COROLLA AE110,1995,4
TOYOTA,CE100,1991,4
MITSUBISHI,LANCER WAGON,1980,4
MITSUBISHI,LANCER,1985,4
NISSAN,LEAF,2012,4
TOYOTA,ALLION 240 ANNIVERSARY,2007,4
MITSUBISHI,LANCER CS1,2004,4
NISSAN,MARCH,2000,4
MITSUBISHI,LANCER CK1,1999,4
MITSUBISHI,C12,1985,4
TOYOTA,COROLLA 121 G GRADE,2003,4
TOYOTA,PASSO,2015,4
MAZDA,FAMILIA,1987,4
TOYOTA,COROLLA 2,1990,4
NISSAN,AD WAGON,1996,4
TOYOTA,PASSO,2016,4
TOYOTA,ALLION 260 G PLUS,2013,4
MITSUBISHI,LANCER CS1 GLX,2008,4
MAZDA,DEMIO,2008,4
